job_id,time_submitted,status,walltime,competition_sd,immigration_rate,replicate,f,daisie_version,ddmodel,params_i,runtime,nb_clades,nb_cpus
24458297,NA,COMPLETED,NA,0.369,1e-4,66,1,IW,11,1,00:33:04,NA,4
24458298,NA,COMPLETED,NA,0.369,1e-4,67,1,IW,11,1,00:42:08,NA,4
24458299,NA,COMPLETED,NA,0.369,1e-4,68,1,IW,11,1,01:11:58,NA,4
24458300,NA,COMPLETED,NA,0.369,1e-4,69,1,IW,11,1,01:11:56,NA,4
24458301,NA,COMPLETED,NA,0.369,1e-4,70,1,IW,11,1,01:39:03,NA,4
24458302,NA,COMPLETED,NA,0.369,1e-4,71,1,IW,11,1,00:35:08,NA,4
24458303,NA,COMPLETED,NA,0.369,1e-4,72,1,IW,11,1,00:58:04,NA,4
24458304,NA,COMPLETED,NA,0.369,1e-4,73,1,IW,11,1,00:18:58,NA,4
24458305,NA,COMPLETED,NA,0.369,1e-4,74,1,IW,11,1,01:10:58,NA,4
24458306,NA,COMPLETED,NA,0.369,1e-4,75,1,IW,11,1,00:44:05,NA,4
24458307,NA,COMPLETED,NA,0.369,1e-4,76,1,IW,11,1,02:40:31,NA,4
24458308,NA,COMPLETED,NA,0.369,1e-4,77,1,IW,11,1,00:25:47,NA,4
24458309,NA,COMPLETED,NA,0.369,1e-4,78,1,IW,11,1,00:22:36,NA,4
24458310,NA,COMPLETED,NA,0.369,1e-4,79,1,IW,11,1,00:52:52,NA,4
24458311,NA,COMPLETED,NA,0.369,1e-4,80,1,IW,11,1,00:38:02,NA,4
24458312,NA,COMPLETED,NA,0.369,1e-4,81,1,IW,11,1,00:36:19,NA,4
24458313,NA,COMPLETED,NA,0.369,1e-4,82,1,IW,11,1,00:30:26,NA,4
24458314,NA,COMPLETED,NA,0.369,1e-4,83,1,IW,11,1,00:57:52,NA,4
24458315,NA,COMPLETED,NA,0.369,1e-4,84,1,IW,11,1,01:06:24,NA,4
24458316,NA,COMPLETED,NA,0.369,1e-4,85,1,IW,11,1,02:11:46,NA,4
24458317,NA,COMPLETED,NA,0.369,1e-4,86,1,IW,11,1,00:28:16,NA,4
24458318,NA,RUNNING,NA,0.369,1e-4,87,1,IW,11,1,9-23:00:07,NA,4
24458319,NA,COMPLETED,NA,0.369,1e-4,88,1,IW,11,1,01:19:06,NA,4
24458320,NA,COMPLETED,NA,0.369,1e-4,89,1,IW,11,1,00:31:48,NA,4
24458321,NA,COMPLETED,NA,0.369,1e-4,90,1,IW,11,1,00:12:28,NA,4
24458324,NA,COMPLETED,NA,0.369,1e-4,93,1,IW,11,1,00:43:47,NA,4
24458322,NA,COMPLETED,NA,0.369,1e-4,91,1,IW,11,1,01:35:42,NA,4
24458326,NA,COMPLETED,NA,0.369,1e-4,95,1,IW,11,1,00:57:01,NA,4
24458327,NA,COMPLETED,NA,0.369,1e-4,96,1,IW,11,1,01:08:19,NA,4
24458323,NA,COMPLETED,NA,0.369,1e-4,92,1,IW,11,1,00:47:13,NA,4
24458325,NA,COMPLETED,NA,0.369,1e-4,94,1,IW,11,1,00:24:03,NA,4
24458328,NA,COMPLETED,NA,0.369,1e-4,97,1,IW,11,1,00:00:11,NA,4
24458330,NA,COMPLETED,NA,0.369,1e-4,99,1,IW,11,1,00:40:24,NA,4
24458329,NA,COMPLETED,NA,0.369,1e-4,98,1,IW,11,1,00:50:59,NA,4
24458332,NA,COMPLETED,NA,0.091,1e-4,1,1,IW,11,1,03:19:52,NA,4
24458333,NA,COMPLETED,NA,0.091,1e-4,2,1,IW,11,1,02:52:02,NA,4
24458331,NA,COMPLETED,NA,0.369,1e-4,100,1,IW,11,1,00:33:06,NA,4
24458334,NA,COMPLETED,NA,0.091,1e-4,3,1,IW,11,1,04:41:55,NA,4
24458335,NA,COMPLETED,NA,0.091,1e-4,4,1,IW,11,1,02:22:54,NA,4
24458336,NA,COMPLETED,NA,0.091,1e-4,5,1,IW,11,1,03:36:05,NA,4
24458337,NA,FAILED,NA,0.091,1e-4,6,1,IW,11,1,08:49:27,NA,4
24458338,NA,COMPLETED,NA,0.091,1e-4,7,1,IW,11,1,07:15:56,NA,4
24458339,NA,COMPLETED,NA,0.091,1e-4,8,1,IW,11,1,05:14:33,NA,4
24458340,NA,COMPLETED,NA,0.091,1e-4,9,1,IW,11,1,05:53:14,NA,4
24458341,NA,COMPLETED,NA,0.091,1e-4,10,1,IW,11,1,02:52:47,NA,4
24458342,NA,COMPLETED,NA,0.091,1e-4,11,1,IW,11,1,01:50:44,NA,4
24458343,NA,COMPLETED,NA,0.091,1e-4,12,1,IW,11,1,03:54:16,NA,4
24458344,NA,COMPLETED,NA,0.091,1e-4,13,1,IW,11,1,04:22:29,NA,4
24458345,NA,COMPLETED,NA,0.091,1e-4,14,1,IW,11,1,03:03:40,NA,4
24458346,NA,COMPLETED,NA,0.091,1e-4,15,1,IW,11,1,02:34:42,NA,4
24458347,NA,COMPLETED,NA,0.091,1e-4,16,1,IW,11,1,02:41:17,NA,4
24458348,NA,COMPLETED,NA,0.091,1e-4,17,1,IW,11,1,02:56:18,NA,4
24458349,NA,COMPLETED,NA,0.091,1e-4,18,1,IW,11,1,02:58:26,NA,4
24458350,NA,COMPLETED,NA,0.091,1e-4,19,1,IW,11,1,02:46:57,NA,4
24458351,NA,COMPLETED,NA,0.091,1e-4,20,1,IW,11,1,02:17:16,NA,4
24458352,NA,COMPLETED,NA,0.091,1e-4,21,1,IW,11,1,01:59:47,NA,4
24458353,NA,COMPLETED,NA,0.091,1e-4,22,1,IW,11,1,03:23:12,NA,4
24458354,NA,COMPLETED,NA,0.091,1e-4,23,1,IW,11,1,03:14:47,NA,4
24458355,NA,COMPLETED,NA,0.091,1e-4,24,1,IW,11,1,03:14:05,NA,4
24458356,NA,COMPLETED,NA,0.091,1e-4,25,1,IW,11,1,02:55:47,NA,4
24458357,NA,COMPLETED,NA,0.091,1e-4,26,1,IW,11,1,02:11:21,NA,4
24458359,NA,COMPLETED,NA,0.091,1e-4,28,1,IW,11,1,02:24:01,NA,4
24458358,NA,COMPLETED,NA,0.091,1e-4,27,1,IW,11,1,03:36:45,NA,4
24458360,NA,COMPLETED,NA,0.091,1e-4,29,1,IW,11,1,03:36:44,NA,4
24458361,NA,COMPLETED,NA,0.091,1e-4,30,1,IW,11,1,02:48:55,NA,4
24458362,NA,COMPLETED,NA,0.091,1e-4,31,1,IW,11,1,03:11:04,NA,4
24458364,NA,COMPLETED,NA,0.091,1e-4,33,1,IW,11,1,03:00:23,NA,4
24458363,NA,COMPLETED,NA,0.091,1e-4,32,1,IW,11,1,02:05:24,NA,4
24458365,NA,COMPLETED,NA,0.091,1e-4,34,1,IW,11,1,03:06:08,NA,4
24458366,NA,COMPLETED,NA,0.091,1e-4,35,1,IW,11,1,02:34:19,NA,4
24458367,NA,COMPLETED,NA,0.091,1e-4,36,1,IW,11,1,03:10:48,NA,4
24458368,NA,COMPLETED,NA,0.091,1e-4,37,1,IW,11,1,03:08:59,NA,4
24458369,NA,COMPLETED,NA,0.091,1e-4,38,1,IW,11,1,03:01:22,NA,4
24458370,NA,COMPLETED,NA,0.091,1e-4,39,1,IW,11,1,03:01:28,NA,4
24458372,NA,COMPLETED,NA,0.091,1e-4,41,1,IW,11,1,03:27:25,NA,4
24458373,NA,COMPLETED,NA,0.091,1e-4,42,1,IW,11,1,02:27:42,NA,4
24458371,NA,COMPLETED,NA,0.091,1e-4,40,1,IW,11,1,05:07:30,NA,4
24458374,NA,COMPLETED,NA,0.091,1e-4,43,1,IW,11,1,02:09:11,NA,4
24458375,NA,COMPLETED,NA,0.091,1e-4,44,1,IW,11,1,02:14:31,NA,4
24458376,NA,COMPLETED,NA,0.091,1e-4,45,1,IW,11,1,01:45:24,NA,4
