batch_id,job_id,time_subm,status,runtime,competition_sd,carrying_cap_sd,dd_model,comrad_version
b92134,20007769,2021-05-11T13:09:13Z,COMPLETED,00:05:45,0.5,1,lp,[1] ‘1.18.0’
b92134,20007771,2021-05-11T13:09:15Z,COMPLETED,00:06:16,0.5,1,pp,[1] ‘1.18.0’
b92134,20007770,2021-05-11T13:09:16Z,COMPLETED,00:06:23,0.5,1,pl,[1] ‘1.18.0’
b92134,20007772,2021-05-11T13:09:24Z,COMPLETED,00:04:39,0.6,1,lc,[1] ‘1.18.0’
b92134,20007773,2021-05-11T13:09:26Z,COMPLETED,00:05:51,0.6,1,ll,[1] ‘1.18.0’
b92134,20007774,2021-05-11T13:09:38Z,COMPLETED,00:05:40,0.6,1,lx,[1] ‘1.18.0’
b92134,20007775,2021-05-11T13:10:11Z,COMPLETED,00:13:02,0.6,1,xc,[1] ‘1.18.0’
b92134,20007776,2021-05-11T13:10:13Z,COMPLETED,00:06:23,0.6,1,xl,[1] ‘1.18.0’
b92134,20007777,2021-05-11T13:10:26Z,COMPLETED,00:06:17,0.6,1,xx,[1] ‘1.18.0’
b92134,20007778,2021-05-11T13:11:34Z,COMPLETED,00:06:45,0.6,1,pc,[1] ‘1.18.0’
b92134,20007779,2021-05-11T13:12:32Z,COMPLETED,00:05:54,0.6,1,lp,[1] ‘1.18.0’
b92134,20007781,2021-05-11T13:13:12Z,COMPLETED,00:06:18,0.6,1,pp,[1] ‘1.18.0’
b92134,20007780,2021-05-11T13:13:12Z,COMPLETED,00:06:22,0.6,1,pl,[1] ‘1.18.0’
b92134,20007782,2021-05-11T13:13:44Z,COMPLETED,00:04:19,0.7,1,lc,[1] ‘1.18.0’
b92134,20007783,2021-05-11T13:13:54Z,COMPLETED,00:06:39,0.7,1,ll,[1] ‘1.18.0’
b92134,20007784,2021-05-11T13:14:04Z,COMPLETED,00:05:32,0.7,1,lx,[1] ‘1.18.0’
b92134,20007785,2021-05-11T13:14:08Z,COMPLETED,00:09:31,0.7,1,xc,[1] ‘1.18.0’
b92134,20007786,2021-05-11T13:14:16Z,COMPLETED,00:06:55,0.7,1,xl,[1] ‘1.18.0’
b92134,20007787,2021-05-11T13:14:23Z,COMPLETED,00:05:42,0.7,1,xx,[1] ‘1.18.0’
b92134,20007788,2021-05-11T13:14:27Z,COMPLETED,00:06:38,0.7,1,pc,[1] ‘1.18.0’
b92134,20007789,2021-05-11T13:14:39Z,COMPLETED,00:04:57,0.7,1,lp,[1] ‘1.18.0’
b92134,20007790,2021-05-11T13:14:41Z,COMPLETED,00:07:26,0.7,1,pl,[1] ‘1.18.0’
b92134,20007791,2021-05-11T13:14:41Z,COMPLETED,00:06:20,0.7,1,pp,[1] ‘1.18.0’
b92134,20007792,2021-05-11T13:14:53Z,COMPLETED,00:04:23,0.8,1,lc,[1] ‘1.18.0’
b92134,20007793,2021-05-11T13:14:55Z,COMPLETED,00:06:30,0.8,1,ll,[1] ‘1.18.0’
b92134,20007794,2021-05-11T13:14:56Z,COMPLETED,00:05:22,0.8,1,lx,[1] ‘1.18.0’
b92134,20007795,2021-05-11T13:14:58Z,COMPLETED,00:12:15,0.8,1,xc,[1] ‘1.18.0’
b92134,20007796,2021-05-11T13:15:08Z,COMPLETED,00:06:26,0.8,1,xl,[1] ‘1.18.0’
b92134,20007797,2021-05-11T13:15:13Z,COMPLETED,00:05:33,0.8,1,xx,[1] ‘1.18.0’
b92134,20007798,2021-05-11T13:15:18Z,COMPLETED,00:05:06,0.8,1,pc,[1] ‘1.18.0’
b92134,20007799,2021-05-11T13:15:19Z,COMPLETED,00:05:22,0.8,1,lp,[1] ‘1.18.0’
b92134,20007800,2021-05-11T13:15:21Z,COMPLETED,00:07:30,0.8,1,pl,[1] ‘1.18.0’
b92134,20007801,2021-05-11T13:15:32Z,COMPLETED,00:04:42,0.8,1,pp,[1] ‘1.18.0’
b92134,20007802,2021-05-11T13:15:40Z,COMPLETED,00:04:50,0.9,1,lc,[1] ‘1.18.0’
b92134,20007803,2021-05-11T13:15:56Z,COMPLETED,00:08:30,0.9,1,ll,[1] ‘1.18.0’
b92134,20007804,2021-05-11T13:16:07Z,COMPLETED,00:05:26,0.9,1,lx,[1] ‘1.18.0’
b92134,20007806,2021-05-11T13:16:14Z,COMPLETED,00:06:45,0.9,1,xl,[1] ‘1.18.0’
b92134,20007805,2021-05-11T13:16:14Z,COMPLETED,00:05:31,0.9,1,xc,[1] ‘1.18.0’
b92134,20007807,2021-05-11T13:16:21Z,COMPLETED,00:05:17,0.9,1,xx,[1] ‘1.18.0’
b92134,20007808,2021-05-11T13:16:30Z,COMPLETED,00:04:33,0.9,1,pc,[1] ‘1.18.0’
b92134,20007809,2021-05-11T13:16:35Z,COMPLETED,00:04:37,0.9,1,lp,[1] ‘1.18.0’
b92134,20007810,2021-05-11T13:16:44Z,COMPLETED,00:07:15,0.9,1,pl,[1] ‘1.18.0’
b92134,20007811,2021-05-11T13:16:47Z,COMPLETED,00:04:43,0.9,1,pp,[1] ‘1.18.0’
b92134,20007812,2021-05-11T13:16:58Z,COMPLETED,00:03:59,1,1,lc,[1] ‘1.18.0’
b92134,20007813,2021-05-11T13:16:59Z,COMPLETED,00:06:09,1,1,ll,[1] ‘1.18.0’
b92134,20007814,2021-05-11T13:17:08Z,COMPLETED,00:05:29,1,1,lx,[1] ‘1.18.0’
b92134,20007815,2021-05-11T13:17:41Z,COMPLETED,00:06:08,1,1,xc,[1] ‘1.18.0’
b92134,20007816,2021-05-11T13:17:49Z,COMPLETED,00:06:30,1,1,xl,[1] ‘1.18.0’
b92134,20007817,2021-05-11T13:17:59Z,COMPLETED,00:05:39,1,1,xx,[1] ‘1.18.0’
b92134,20007818,2021-05-11T13:18:02Z,COMPLETED,00:04:12,1,1,pc,[1] ‘1.18.0’
b92134,20007820,2021-05-11T13:18:09Z,COMPLETED,00:07:29,1,1,pl,[1] ‘1.18.0’
b92134,20007819,2021-05-11T13:18:09Z,COMPLETED,00:04:34,1,1,lp,[1] ‘1.18.0’
b92134,20007821,2021-05-11T13:18:13Z,COMPLETED,00:05:11,1,1,pp,[1] ‘1.18.0’
b92134,20007822,2021-05-11T13:18:19Z,COMPLETED,00:13:43,0.1,2,lc,[1] ‘1.18.0’
b92134,20007823,2021-05-11T13:18:26Z,COMPLETED,00:31:14,0.1,2,ll,[1] ‘1.18.0’
b92134,20007824,2021-05-11T13:18:27Z,COMPLETED,00:44:45,0.1,2,lx,[1] ‘1.18.0’
b92134,20007825,2021-05-11T13:18:35Z,COMPLETED,00:30:26,0.1,2,xc,[1] ‘1.18.0’
b92134,20007826,2021-05-11T13:19:01Z,COMPLETED,00:53:54,0.1,2,xl,[1] ‘1.18.0’
b92134,20007827,2021-05-11T13:19:13Z,COMPLETED,01:32:16,0.1,2,xx,[1] ‘1.18.0’
b92134,20007829,2021-05-11T13:19:18Z,COMPLETED,00:42:10,0.1,2,lp,[1] ‘1.18.0’
b92134,20007828,2021-05-11T13:19:19Z,COMPLETED,00:36:42,0.1,2,pc,[1] ‘1.18.0’
b92134,20007830,2021-05-11T13:19:29Z,COMPLETED,01:07:17,0.1,2,pl,[1] ‘1.18.0’
b92134,20007831,2021-05-11T13:19:35Z,COMPLETED,01:24:01,0.1,2,pp,[1] ‘1.18.0’
b92134,20007832,2021-05-11T13:19:36Z,COMPLETED,00:10:38,0.2,2,lc,[1] ‘1.18.0’
b92134,20007833,2021-05-11T13:19:38Z,COMPLETED,00:16:55,0.2,2,ll,[1] ‘1.18.0’
b92134,20007835,2021-05-11T13:20:35Z,COMPLETED,00:24:32,0.2,2,xc,[1] ‘1.18.0’
b92134,20007834,2021-05-11T13:20:36Z,COMPLETED,00:22:39,0.2,2,lx,[1] ‘1.18.0’
b92134,20007843,2021-05-11T13:21:06Z,COMPLETED,00:10:02,0.3,2,ll,[1] ‘1.18.0’
b92134,20007840,2021-05-11T13:21:06Z,COMPLETED,00:31:43,0.2,2,pl,[1] ‘1.18.0’
b92134,20007842,2021-05-11T13:21:06Z,COMPLETED,00:06:22,0.3,2,lc,[1] ‘1.18.0’
b92134,20007841,2021-05-11T13:21:06Z,COMPLETED,00:45:44,0.2,2,pp,[1] ‘1.18.0’
b92134,20007837,2021-05-11T13:21:07Z,COMPLETED,00:38:04,0.2,2,xx,[1] ‘1.18.0’
b92134,20007838,2021-05-11T13:21:07Z,COMPLETED,00:24:31,0.2,2,pc,[1] ‘1.18.0’
b92134,20007839,2021-05-11T13:21:07Z,COMPLETED,00:21:36,0.2,2,lp,[1] ‘1.18.0’
b92134,20007836,2021-05-11T13:21:07Z,COMPLETED,00:28:14,0.2,2,xl,[1] ‘1.18.0’
b92134,20007844,2021-05-11T13:21:07Z,COMPLETED,00:16:05,0.3,2,lx,[1] ‘1.18.0’
b92134,20007845,2021-05-11T13:21:08Z,COMPLETED,00:16:09,0.3,2,xc,[1] ‘1.18.0’
b92134,20007847,2021-05-11T13:21:08Z,COMPLETED,00:20:40,0.3,2,xx,[1] ‘1.18.0’
b92134,20007846,2021-05-11T13:21:08Z,COMPLETED,00:17:23,0.3,2,xl,[1] ‘1.18.0’
b92134,20007848,2021-05-11T13:21:08Z,COMPLETED,00:16:59,0.3,2,pc,[1] ‘1.18.0’
b92134,20007849,2021-05-11T13:21:10Z,COMPLETED,00:12:35,0.3,2,lp,[1] ‘1.18.0’
b92134,20007850,2021-05-11T13:21:14Z,COMPLETED,00:18:03,0.3,2,pl,[1] ‘1.18.0’
b92134,20007851,2021-05-11T13:21:26Z,COMPLETED,00:23:02,0.3,2,pp,[1] ‘1.18.0’
