job_id,time_subm,status,runtime,competition_sd,carrying_cap_sd,dd_model,tree,comrad_version,DDD_version
20649933,2021-06-22T23:48:59Z,COMPLETED,00:00:36,0.1,1,lc,44,1.18.0,4.4.1
20649920,2021-06-22T23:48:59Z,COMPLETED,00:00:35,0.1,1,lc,31,1.18.0,4.4.1
20649928,2021-06-22T23:48:59Z,COMPLETED,00:00:32,0.1,1,lc,39,1.18.0,4.4.1
20649925,2021-06-22T23:48:59Z,COMPLETED,00:00:35,0.1,1,lc,36,1.18.0,4.4.1
20649931,2021-06-22T23:48:59Z,COMPLETED,00:00:32,0.1,1,lc,42,1.18.0,4.4.1
20649946,2021-06-22T23:49:54Z,COMPLETED,00:00:27,0.1,1,lc,56,1.18.0,4.4.1
20649949,2021-06-22T23:49:55Z,COMPLETED,00:00:29,0.1,1,lc,59,1.18.0,4.4.1
20649947,2021-06-22T23:49:55Z,COMPLETED,00:00:32,0.1,1,lc,57,1.18.0,4.4.1
20649948,2021-06-22T23:49:55Z,COMPLETED,00:00:29,0.1,1,lc,58,1.18.0,4.4.1
20649954,2021-06-22T23:49:55Z,COMPLETED,00:00:29,0.1,1,lc,60,1.18.0,4.4.1
20649945,2021-06-22T23:49:55Z,COMPLETED,00:00:29,0.1,1,lc,55,1.18.0,4.4.1
20649985,2021-06-22T23:49:58Z,COMPLETED,00:00:28,0.1,1,lc,91,1.18.0,4.4.1
20649984,2021-06-22T23:49:58Z,COMPLETED,00:00:33,0.1,1,lc,90,1.18.0,4.4.1
20649979,2021-06-22T23:49:58Z,COMPLETED,00:00:32,0.1,1,lc,85,1.18.0,4.4.1
20649980,2021-06-22T23:49:58Z,COMPLETED,00:00:32,0.1,1,lc,86,1.18.0,4.4.1
20649981,2021-06-22T23:49:58Z,COMPLETED,00:00:36,0.1,1,lc,87,1.18.0,4.4.1
20649983,2021-06-22T23:49:58Z,COMPLETED,00:00:32,0.1,1,lc,89,1.18.0,4.4.1
20649986,2021-06-22T23:49:58Z,COMPLETED,00:00:29,0.1,1,lc,92,1.18.0,4.4.1
20649982,2021-06-22T23:49:58Z,COMPLETED,00:00:32,0.1,1,lc,88,1.18.0,4.4.1
20649988,2021-06-22T23:49:58Z,COMPLETED,00:00:31,0.1,1,lc,94,1.18.0,4.4.1
20649987,2021-06-22T23:49:58Z,COMPLETED,00:00:33,0.1,1,lc,93,1.18.0,4.4.1
20649990,2021-06-22T23:49:58Z,COMPLETED,00:00:29,0.1,1,lc,96,1.18.0,4.4.1
20649989,2021-06-22T23:49:58Z,COMPLETED,00:00:31,0.1,1,lc,95,1.18.0,4.4.1
20649992,2021-06-22T23:49:58Z,COMPLETED,00:00:32,0.1,1,lc,98,1.18.0,4.4.1
20649991,2021-06-22T23:49:58Z,COMPLETED,00:00:29,0.1,1,lc,97,1.18.0,4.4.1
20649995,2021-06-22T23:49:58Z,COMPLETED,00:00:44,0.1,1,ll,1,1.18.0,4.4.1
20649993,2021-06-22T23:49:58Z,COMPLETED,00:00:35,0.1,1,lc,99,1.18.0,4.4.1
20649997,2021-06-22T23:49:58Z,COMPLETED,00:00:47,0.1,1,ll,3,1.18.0,4.4.1
20649996,2021-06-22T23:49:58Z,COMPLETED,00:00:45,0.1,1,ll,2,1.18.0,4.4.1
20649998,2021-06-22T23:49:58Z,COMPLETED,00:00:46,0.1,1,ll,4,1.18.0,4.4.1
20649994,2021-06-22T23:49:58Z,COMPLETED,00:00:34,0.1,1,lc,100,1.18.0,4.4.1
20650001,2021-06-22T23:49:58Z,COMPLETED,00:00:51,0.1,1,ll,7,1.18.0,4.4.1
20649999,2021-06-22T23:49:58Z,COMPLETED,00:00:43,0.1,1,ll,5,1.18.0,4.4.1
20650000,2021-06-22T23:49:58Z,COMPLETED,00:00:48,0.1,1,ll,6,1.18.0,4.4.1
20650002,2021-06-22T23:49:58Z,COMPLETED,00:00:44,0.1,1,ll,8,1.18.0,4.4.1
20649962,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,68,1.18.0,4.4.1
20649957,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,63,1.18.0,4.4.1
20649959,2021-06-22T23:49:59Z,COMPLETED,00:00:33,0.1,1,lc,65,1.18.0,4.4.1
20649963,2021-06-22T23:49:59Z,COMPLETED,00:00:33,0.1,1,lc,69,1.18.0,4.4.1
20649958,2021-06-22T23:49:59Z,COMPLETED,00:00:33,0.1,1,lc,64,1.18.0,4.4.1
20649961,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,67,1.18.0,4.4.1
20649960,2021-06-22T23:49:59Z,COMPLETED,00:00:33,0.1,1,lc,66,1.18.0,4.4.1
20649955,2021-06-22T23:49:59Z,COMPLETED,00:00:33,0.1,1,lc,61,1.18.0,4.4.1
20649956,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,62,1.18.0,4.4.1
20649966,2021-06-22T23:49:59Z,COMPLETED,00:00:33,0.1,1,lc,72,1.18.0,4.4.1
20649965,2021-06-22T23:49:59Z,COMPLETED,00:00:32,0.1,1,lc,71,1.18.0,4.4.1
20649964,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,70,1.18.0,4.4.1
20649973,2021-06-22T23:49:59Z,COMPLETED,00:00:31,0.1,1,lc,79,1.18.0,4.4.1
20649971,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,77,1.18.0,4.4.1
20649972,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,78,1.18.0,4.4.1
20649974,2021-06-22T23:49:59Z,COMPLETED,00:00:31,0.1,1,lc,80,1.18.0,4.4.1
20649976,2021-06-22T23:49:59Z,COMPLETED,00:00:36,0.1,1,lc,82,1.18.0,4.4.1
20649969,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,75,1.18.0,4.4.1
20649968,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,74,1.18.0,4.4.1
20649975,2021-06-22T23:49:59Z,COMPLETED,00:00:32,0.1,1,lc,81,1.18.0,4.4.1
20649978,2021-06-22T23:49:59Z,COMPLETED,00:00:35,0.1,1,lc,84,1.18.0,4.4.1
20649970,2021-06-22T23:49:59Z,COMPLETED,00:00:29,0.1,1,lc,76,1.18.0,4.4.1
20649967,2021-06-22T23:49:59Z,COMPLETED,00:00:33,0.1,1,lc,73,1.18.0,4.4.1
20649977,2021-06-22T23:49:59Z,COMPLETED,00:00:34,0.1,1,lc,83,1.18.0,4.4.1
20650005,2021-06-22T23:50:54Z,COMPLETED,00:00:42,0.1,1,ll,10,1.18.0,4.4.1
20650007,2021-06-22T23:50:54Z,COMPLETED,00:00:41,0.1,1,ll,12,1.18.0,4.4.1
20650006,2021-06-22T23:50:54Z,COMPLETED,00:00:41,0.1,1,ll,11,1.18.0,4.4.1
20650008,2021-06-22T23:50:54Z,COMPLETED,00:00:44,0.1,1,ll,13,1.18.0,4.4.1
20650004,2021-06-22T23:50:54Z,COMPLETED,00:00:42,0.1,1,ll,9,1.18.0,4.4.1
20650014,2021-06-22T23:50:54Z,COMPLETED,00:00:43,0.1,1,ll,14,1.18.0,4.4.1
20650039,2021-06-22T23:50:55Z,COMPLETED,00:00:46,0.1,1,ll,39,1.18.0,4.4.1
20650040,2021-06-22T23:50:55Z,COMPLETED,00:00:46,0.1,1,ll,40,1.18.0,4.4.1
20650041,2021-06-22T23:50:55Z,COMPLETED,00:00:45,0.1,1,ll,41,1.18.0,4.4.1
20650015,2021-06-22T23:50:55Z,COMPLETED,00:00:48,0.1,1,ll,15,1.18.0,4.4.1
20650043,2021-06-22T23:50:55Z,COMPLETED,00:00:44,0.1,1,ll,43,1.18.0,4.4.1
20650042,2021-06-22T23:50:56Z,COMPLETED,00:00:41,0.1,1,ll,42,1.18.0,4.4.1
20650017,2021-06-22T23:50:56Z,COMPLETED,00:00:45,0.1,1,ll,17,1.18.0,4.4.1
20650044,2021-06-22T23:50:56Z,COMPLETED,00:00:43,0.1,1,ll,44,1.18.0,4.4.1
20650016,2021-06-22T23:50:56Z,COMPLETED,00:00:42,0.1,1,ll,16,1.18.0,4.4.1
20650018,2021-06-22T23:50:56Z,COMPLETED,00:00:42,0.1,1,ll,18,1.18.0,4.4.1
20650045,2021-06-22T23:50:56Z,COMPLETED,00:00:43,0.1,1,ll,45,1.18.0,4.4.1
20650019,2021-06-22T23:50:56Z,COMPLETED,00:00:40,0.1,1,ll,19,1.18.0,4.4.1
20650046,2021-06-22T23:50:56Z,COMPLETED,00:00:48,0.1,1,ll,46,1.18.0,4.4.1
20650048,2021-06-22T23:50:56Z,COMPLETED,00:00:48,0.1,1,ll,48,1.18.0,4.4.1
20650021,2021-06-22T23:50:56Z,COMPLETED,00:00:44,0.1,1,ll,21,1.18.0,4.4.1
20650047,2021-06-22T23:50:56Z,COMPLETED,00:00:46,0.1,1,ll,47,1.18.0,4.4.1
20650022,2021-06-22T23:50:56Z,COMPLETED,00:00:46,0.1,1,ll,22,1.18.0,4.4.1
20650020,2021-06-22T23:50:56Z,COMPLETED,00:00:46,0.1,1,ll,20,1.18.0,4.4.1
20650023,2021-06-22T23:50:56Z,COMPLETED,00:00:44,0.1,1,ll,23,1.18.0,4.4.1
20650024,2021-06-22T23:50:56Z,COMPLETED,00:00:46,0.1,1,ll,24,1.18.0,4.4.1
20650056,2021-06-22T23:50:57Z,COMPLETED,00:00:43,0.1,1,ll,56,1.18.0,4.4.1
20650057,2021-06-22T23:50:57Z,COMPLETED,00:00:40,0.1,1,ll,57,1.18.0,4.4.1
20650053,2021-06-22T23:50:57Z,COMPLETED,00:00:46,0.1,1,ll,53,1.18.0,4.4.1
20650054,2021-06-22T23:50:57Z,COMPLETED,00:00:47,0.1,1,ll,54,1.18.0,4.4.1
20650058,2021-06-22T23:50:57Z,COMPLETED,00:00:43,0.1,1,ll,58,1.18.0,4.4.1
20650055,2021-06-22T23:50:57Z,COMPLETED,00:00:48,0.1,1,ll,55,1.18.0,4.4.1
20650059,2021-06-22T23:50:57Z,COMPLETED,00:00:51,0.1,1,ll,59,1.18.0,4.4.1
20650061,2021-06-22T23:50:57Z,COMPLETED,00:00:46,0.1,1,ll,61,1.18.0,4.4.1
20650060,2021-06-22T23:50:57Z,COMPLETED,00:00:44,0.1,1,ll,60,1.18.0,4.4.1
20650052,2021-06-22T23:50:57Z,COMPLETED,00:00:47,0.1,1,ll,52,1.18.0,4.4.1
20650062,2021-06-22T23:50:57Z,COMPLETED,00:00:48,0.1,1,ll,62,1.18.0,4.4.1
20650050,2021-06-22T23:50:57Z,COMPLETED,00:00:42,0.1,1,ll,50,1.18.0,4.4.1
20650051,2021-06-22T23:50:57Z,COMPLETED,00:00:47,0.1,1,ll,51,1.18.0,4.4.1
20650049,2021-06-22T23:50:57Z,COMPLETED,00:00:45,0.1,1,ll,49,1.18.0,4.4.1
20650029,2021-06-22T23:50:57Z,COMPLETED,00:00:49,0.1,1,ll,29,1.18.0,4.4.1
20650033,2021-06-22T23:50:57Z,COMPLETED,00:00:43,0.1,1,ll,33,1.18.0,4.4.1
20650034,2021-06-22T23:50:57Z,COMPLETED,00:00:48,0.1,1,ll,34,1.18.0,4.4.1
20650031,2021-06-22T23:50:57Z,COMPLETED,00:00:45,0.1,1,ll,31,1.18.0,4.4.1
20650032,2021-06-22T23:50:57Z,COMPLETED,00:00:43,0.1,1,ll,32,1.18.0,4.4.1
20650036,2021-06-22T23:50:57Z,COMPLETED,00:00:45,0.1,1,ll,36,1.18.0,4.4.1
20650035,2021-06-22T23:50:57Z,COMPLETED,00:00:49,0.1,1,ll,35,1.18.0,4.4.1
20650030,2021-06-22T23:50:57Z,COMPLETED,00:00:48,0.1,1,ll,30,1.18.0,4.4.1
20650028,2021-06-22T23:50:57Z,COMPLETED,00:00:47,0.1,1,ll,28,1.18.0,4.4.1
20650037,2021-06-22T23:50:57Z,COMPLETED,00:00:47,0.1,1,ll,37,1.18.0,4.4.1
20650027,2021-06-22T23:50:57Z,COMPLETED,00:00:45,0.1,1,ll,27,1.18.0,4.4.1
20650038,2021-06-22T23:50:57Z,COMPLETED,00:00:48,0.1,1,ll,38,1.18.0,4.4.1
20650026,2021-06-22T23:50:57Z,COMPLETED,00:00:46,0.1,1,ll,26,1.18.0,4.4.1
20650025,2021-06-22T23:50:57Z,COMPLETED,00:00:50,0.1,1,ll,25,1.18.0,4.4.1
20650065,2021-06-22T23:51:54Z,COMPLETED,00:00:39,0.1,1,ll,64,1.18.0,4.4.1
20650067,2021-06-22T23:51:54Z,COMPLETED,00:00:43,0.1,1,ll,66,1.18.0,4.4.1
20650066,2021-06-22T23:51:54Z,COMPLETED,00:00:38,0.1,1,ll,65,1.18.0,4.4.1
20650068,2021-06-22T23:51:54Z,COMPLETED,00:00:40,0.1,1,ll,67,1.18.0,4.4.1
20650073,2021-06-22T23:51:54Z,COMPLETED,00:00:40,0.1,1,ll,68,1.18.0,4.4.1
20650064,2021-06-22T23:51:54Z,COMPLETED,00:00:42,0.1,1,ll,63,1.18.0,4.4.1
20650098,2021-06-22T23:51:55Z,COMPLETED,00:00:46,0.1,1,ll,93,1.18.0,4.4.1
20650100,2021-06-22T23:51:56Z,COMPLETED,00:00:45,0.1,1,ll,95,1.18.0,4.4.1
20650074,2021-06-22T23:51:56Z,COMPLETED,00:00:46,0.1,1,ll,69,1.18.0,4.4.1
20650076,2021-06-22T23:51:56Z,COMPLETED,00:00:49,0.1,1,ll,71,1.18.0,4.4.1
20650075,2021-06-22T23:51:56Z,COMPLETED,00:00:46,0.1,1,ll,70,1.18.0,4.4.1
20650099,2021-06-22T23:51:56Z,COMPLETED,00:00:48,0.1,1,ll,94,1.18.0,4.4.1
20650077,2021-06-22T23:51:56Z,COMPLETED,00:00:44,0.1,1,ll,72,1.18.0,4.4.1
20650078,2021-06-22T23:51:56Z,COMPLETED,00:00:41,0.1,1,ll,73,1.18.0,4.4.1
20650101,2021-06-22T23:51:56Z,COMPLETED,00:00:45,0.1,1,ll,96,1.18.0,4.4.1
20650102,2021-06-22T23:51:56Z,COMPLETED,00:00:38,0.1,1,ll,97,1.18.0,4.4.1
20650103,2021-06-22T23:51:56Z,COMPLETED,00:00:41,0.1,1,ll,98,1.18.0,4.4.1
20650080,2021-06-22T23:51:56Z,COMPLETED,00:00:43,0.1,1,ll,75,1.18.0,4.4.1
20650081,2021-06-22T23:51:56Z,COMPLETED,00:00:41,0.1,1,ll,76,1.18.0,4.4.1
20650079,2021-06-22T23:51:56Z,COMPLETED,00:00:44,0.1,1,ll,74,1.18.0,4.4.1
20650082,2021-06-22T23:51:56Z,COMPLETED,00:00:46,0.1,1,ll,77,1.18.0,4.4.1
20650104,2021-06-22T23:51:56Z,COMPLETED,00:00:47,0.1,1,ll,99,1.18.0,4.4.1
20650083,2021-06-22T23:51:57Z,COMPLETED,00:00:44,0.1,1,ll,78,1.18.0,4.4.1
20650106,2021-06-22T23:51:57Z,COMPLETED,00:00:43,0.1,1,lx,1,1.18.0,4.4.1
20650105,2021-06-22T23:51:57Z,COMPLETED,00:00:46,0.1,1,ll,100,1.18.0,4.4.1
20650084,2021-06-22T23:51:57Z,COMPLETED,00:00:41,0.1,1,ll,79,1.18.0,4.4.1
20650086,2021-06-22T23:51:57Z,COMPLETED,00:00:49,0.1,1,ll,81,1.18.0,4.4.1
20650087,2021-06-22T23:51:57Z,COMPLETED,00:00:49,0.1,1,ll,82,1.18.0,4.4.1
20650085,2021-06-22T23:51:57Z,COMPLETED,00:00:43,0.1,1,ll,80,1.18.0,4.4.1
20650107,2021-06-22T23:51:57Z,COMPLETED,00:00:49,0.1,1,lx,2,1.18.0,4.4.1
20650088,2021-06-22T23:51:57Z,COMPLETED,00:00:46,0.1,1,ll,83,1.18.0,4.4.1
20650089,2021-06-22T23:51:57Z,COMPLETED,00:00:44,0.1,1,ll,84,1.18.0,4.4.1
20650091,2021-06-22T23:51:57Z,COMPLETED,00:00:44,0.1,1,ll,86,1.18.0,4.4.1
20650090,2021-06-22T23:51:57Z,COMPLETED,00:00:44,0.1,1,ll,85,1.18.0,4.4.1
20650109,2021-06-22T23:51:57Z,COMPLETED,00:00:43,0.1,1,lx,4,1.18.0,4.4.1
20650092,2021-06-22T23:51:57Z,COMPLETED,00:00:42,0.1,1,ll,87,1.18.0,4.4.1
20650108,2021-06-22T23:51:57Z,COMPLETED,00:00:50,0.1,1,lx,3,1.18.0,4.4.1
20650093,2021-06-22T23:51:57Z,COMPLETED,00:00:49,0.1,1,ll,88,1.18.0,4.4.1
20650110,2021-06-22T23:51:57Z,COMPLETED,00:00:51,0.1,1,lx,5,1.18.0,4.4.1
20650094,2021-06-22T23:51:57Z,COMPLETED,00:00:46,0.1,1,ll,89,1.18.0,4.4.1
20650111,2021-06-22T23:51:57Z,COMPLETED,00:00:49,0.1,1,lx,6,1.18.0,4.4.1
20650112,2021-06-22T23:51:57Z,COMPLETED,00:00:48,0.1,1,lx,7,1.18.0,4.4.1
20650097,2021-06-22T23:51:57Z,COMPLETED,00:00:44,0.1,1,ll,92,1.18.0,4.4.1
20650095,2021-06-22T23:51:57Z,COMPLETED,00:00:45,0.1,1,ll,90,1.18.0,4.4.1
20650096,2021-06-22T23:51:57Z,COMPLETED,00:00:44,0.1,1,ll,91,1.18.0,4.4.1
20650115,2021-06-22T23:51:57Z,COMPLETED,00:00:50,0.1,1,lx,10,1.18.0,4.4.1
20650113,2021-06-22T23:51:57Z,COMPLETED,00:00:46,0.1,1,lx,8,1.18.0,4.4.1
20650114,2021-06-22T23:51:57Z,COMPLETED,00:00:49,0.1,1,lx,9,1.18.0,4.4.1
20650116,2021-06-22T23:51:57Z,COMPLETED,00:00:48,0.1,1,lx,11,1.18.0,4.4.1
20650117,2021-06-22T23:51:57Z,COMPLETED,00:00:48,0.1,1,lx,12,1.18.0,4.4.1
20650119,2021-06-22T23:51:57Z,COMPLETED,00:00:45,0.1,1,lx,14,1.18.0,4.4.1
20650118,2021-06-22T23:51:57Z,COMPLETED,00:00:46,0.1,1,lx,13,1.18.0,4.4.1
20650120,2021-06-22T23:51:57Z,COMPLETED,00:00:52,0.1,1,lx,15,1.18.0,4.4.1
20650121,2021-06-22T23:51:57Z,COMPLETED,00:00:47,0.1,1,lx,16,1.18.0,4.4.1
20650124,2021-06-22T23:52:55Z,COMPLETED,00:00:42,0.1,1,lx,18,1.18.0,4.4.1
20650123,2021-06-22T23:52:55Z,COMPLETED,00:00:46,0.1,1,lx,17,1.18.0,4.4.1
20650126,2021-06-22T23:52:55Z,COMPLETED,00:00:46,0.1,1,lx,20,1.18.0,4.4.1
20650125,2021-06-22T23:52:55Z,COMPLETED,00:00:43,0.1,1,lx,19,1.18.0,4.4.1
20650134,2021-06-22T23:52:55Z,COMPLETED,00:00:50,0.1,1,lx,22,1.18.0,4.4.1
20650127,2021-06-22T23:52:55Z,COMPLETED,00:00:44,0.1,1,lx,21,1.18.0,4.4.1
20650135,2021-06-22T23:52:57Z,COMPLETED,00:00:51,0.1,1,lx,23,1.18.0,4.4.1
20650136,2021-06-22T23:52:57Z,COMPLETED,00:00:45,0.1,1,lx,24,1.18.0,4.4.1
20650137,2021-06-22T23:52:57Z,COMPLETED,00:00:52,0.1,1,lx,25,1.18.0,4.4.1
20650138,2021-06-22T23:52:57Z,COMPLETED,00:00:47,0.1,1,lx,26,1.18.0,4.4.1
20650142,2021-06-22T23:52:57Z,COMPLETED,00:00:48,0.1,1,lx,30,1.18.0,4.4.1
20650144,2021-06-22T23:52:57Z,COMPLETED,00:00:47,0.1,1,lx,32,1.18.0,4.4.1
20650139,2021-06-22T23:52:57Z,COMPLETED,00:00:46,0.1,1,lx,27,1.18.0,4.4.1
20650163,2021-06-22T23:52:57Z,COMPLETED,00:00:47,0.1,1,lx,51,1.18.0,4.4.1
20650160,2021-06-22T23:52:57Z,COMPLETED,00:00:51,0.1,1,lx,48,1.18.0,4.4.1
20650143,2021-06-22T23:52:58Z,COMPLETED,00:00:48,0.1,1,lx,31,1.18.0,4.4.1
20650164,2021-06-22T23:52:57Z,COMPLETED,00:00:44,0.1,1,lx,52,1.18.0,4.4.1
20650161,2021-06-22T23:52:57Z,COMPLETED,00:00:46,0.1,1,lx,49,1.18.0,4.4.1
20650162,2021-06-22T23:52:57Z,COMPLETED,00:00:48,0.1,1,lx,50,1.18.0,4.4.1
20650141,2021-06-22T23:52:58Z,COMPLETED,00:00:50,0.1,1,lx,29,1.18.0,4.4.1
20650140,2021-06-22T23:52:58Z,COMPLETED,00:00:47,0.1,1,lx,28,1.18.0,4.4.1
