batch_id,job_id,time_subm,status,runtime,nb_gens,competition_sd,carrying_cap_sd,carrying_cap_opt,trait_opt,growth_rate,prob_mutation,mutation_sd,trait_dist_sp,switch_carr_cap_sd_after,switch_carr_cap_sd_to,seed,comrad_version,sampling_on_event,sampling_freq,sampling_frac,brute_force_opt,csv_size,t_last_gen,d_last_gen,n_last_gen
b11572,21501778,2021-09-25T16:54:54Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,12323,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501777,2021-09-25T16:54:54Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,29843,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501779,2021-09-25T16:54:54Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,49576,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501780,2021-09-25T16:54:54Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,38763,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501781,2021-09-25T16:54:54Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,44588,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501782,2021-09-25T16:54:55Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,39214,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501784,2021-09-25T16:54:57Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,37461,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501783,2021-09-25T16:54:57Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,30047,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501788,2021-09-25T16:54:57Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,5288,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501785,2021-09-25T16:54:57Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,41042,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501786,2021-09-25T16:54:57Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,832,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501787,2021-09-25T16:54:57Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,542,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501789,2021-09-25T16:55:00Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,23128,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501790,2021-09-25T16:55:00Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,36463,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501791,2021-09-25T16:55:00Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,9497,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501792,2021-09-25T16:55:00Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,19957,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501793,2021-09-25T16:55:00Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,34960,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501794,2021-09-25T16:55:02Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,18512,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501796,2021-09-25T16:55:02Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,41461,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501795,2021-09-25T16:55:02Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,24820,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501797,2021-09-25T16:55:02Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,36788,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501798,2021-09-25T16:55:05Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,4259,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501799,2021-09-25T16:55:05Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,3545,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501800,2021-09-25T16:55:05Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,5738,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501801,2021-09-25T16:55:05Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,28368,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
